English	Turkish
Total: %d	Toplam: %d
Total: 0	Toplam: 0
TRADE AUTHORIZATION SEAL	TİCARET ONAY MÜHRÜ
Trade goods verification required.	Ticaret malları doğrulaması gerekli.
Trade Verification	Ticaret Doğrulaması
Twohand staff	İki elli asa
Twohand sword	İki elli kılıç
Type	Tür
Unable to find Magic Proof Stone in Alchemy Window. When the reinforcement is failed, both the equipment and the Enhancer are destroyed.	Simya Penceresinde Magic Proof Stone bulunamadı. Güçlendirme başarısız olursa hem ekipman hem de güçlendirici yok edilir.
Unable to load item details.	Eşya ayrıntıları yüklenemedi.
Union	Birlik
Unique History	Unique Geçmişi
Unique Logs	Unique Kayıtları
Unique Skills	Unique Becerileri
Unique Target	Unique Hedefi
Universal Pill	Evrensel Hap
Unlock Item	Eşyanın Kilidini Aç
Use Devil/Angel Spirit's	Devil/Angel Spirit Kullan
Use Devil/Angel Spirit's Ignore Skill	Devil/Angel Spirit Ignore Skill Kullan
Use Res. Scroll	Dirilme Parşömeni Kullan
Use Title	Unvanı Kullan
Verify	Doğrula
View	Görüntüle
Vigor	Vigor
Vigor (HP)	Vigor (HP)
Vigor (MP)	Vigor (MP)
Wager: %I64d Gold	Bahis: %I64d Altın
Wait for resurrection	Dirilmeyi bekle
Waiting for KMTGuard to select the reward.	KMTGuard'ın ödülü seçmesi bekleniyor.
Weapon	Silah
Web Viewer	Web Görüntüleyici
WebView2 failed. Check WebViewerBridge.dll / runtime.	WebView2 başarısız. WebViewerBridge.dll dosyasını / çalışma zamanını kontrol edin.
West	Batı
When an item is locked, it cannot be traded, dropped, stored, sold at a shop, or registered at a street shop.  It can only be unlocked with a key.	Bir eşya kilitlendiğinde takas edilemez, yere atılamaz, depoya konamaz, dükkâna satılamaz veya tezgahta satışa konamaz. Yalnızca anahtarla kilidi açılabilir.
When you agree to use the function, the area of expertise that is open in the skill window will be opened automatically. This function does not run in the background. Do you approve?	Bu işlevi kabul ettiğinizde beceri penceresinde açık olan uzmanlık alanı otomatik olarak geliştirilecektir. Bu işlev arka planda çalışmaz. Onaylıyor musunuz?
When you agree to use the function, the skills in the field of expertise that are open in the skill window will be openedautomatically. This function does not run in the background. Do you approve?	Bu işlevi kabul ettiğinizde beceri penceresinde açık olan uzmanlık alanındaki beceriler otomatik olarak geliştirilecektir. Bu işlev arka planda çalışmaz. Onaylıyor musunuz?
When you agree to use the function, your stat points will be given as int. This function continues to run in the background. Do you approve?	Bu işlevi kabul ettiğinizde stat puanlarınız INT olarak dağıtılacaktır. Bu işlev arka planda çalışmaya devam eder. Onaylıyor musunuz?
When you agree to use the function, your stat points will be given as str. This function continues to run in the background. Do you approve?	Bu işlevi kabul ettiğinizde stat puanlarınız STR olarak dağıtılacaktır. Bu işlev arka planda çalışmaya devam eder. Onaylıyor musunuz?
White Team	Beyaz Takım
Windows failed to protect the token. Account was not saved locally.	Windows giriş anahtarını koruyamadı. Hesap bu bilgisayara kaydedilmedi.
Winner selected. Open chest to claim your prize.	Kazanan seçildi. Ödülünüzü almak için sandığı açın.
You allowed only one item for link.	Bağlantı için yalnızca bir eşyaya izin verilir.
You can put a magic proof stone.	Bir Magic Proof Stone koyabilirsiniz.
You cannot proceed this action on a locked item.	Bu işlemi kilitli bir eşyada yapamazsınız.
You cannot proceed this action on a unlocked item.	Bu işlemi kilitsiz bir eşyada yapamazsınız.
you can't attack [ int uniques ]	[ INT unique ] hedeflerine saldıramazsınız
you can't attack [ str uniques ]	[ STR unique ] hedeflerine saldıramazsınız
you must be in a guild to attack this unique	Bu unique hedefe saldırmak için bir loncada olmalısınız
you must be in a party to attack this unique	Bu unique hedefe saldırmak için bir partide olmalısınız
you must be on Job to attack this unique	Bu unique hedefe saldırmak için Job durumunda olmalısınız
You must enter the guild.	Guild adını girmelisiniz.
you must remove Job suit to attack this unique	Bu unique hedefe saldırmak için Job kıyafetini çıkarmalısınız
You my put a magic proof stone.	Bir Magic Proof Stone koymalısınız.
You will create a secondary passcode for further protection of your account.	Hesabınızı daha iyi korumak için ikincil bir şifre oluşturacaksınız.
your cape is not allowed for this unique	Pelerininiz bu unique hedef için uygun değil
Your character will remain in game as a protected stall.	Karakteriniz korumalı bir tezgâh olarak oyunda kalacak.
your Job type is not allowed for this unique	Job türünüz bu unique hedef için uygun değil
your race is not allowed for this unique	Irkınız bu unique hedef için uygun değil
You're cannot save special regions.	Özel bölgelerde konum kaydedemezsiniz.
